Date,County,Observed_Cases,date_column_name
2021-02-25,Abbeville,7,2021-02-25
2021-02-26,Abbeville,9,2021-02-26
2021-02-27,Abbeville,8,2021-02-27
2021-02-28,Abbeville,11,2021-02-28
2021-03-01,Abbeville,1,2021-03-01
2021-03-02,Abbeville,1,2021-03-02
2021-03-03,Abbeville,6,2021-03-03
2021-03-04,Abbeville,9,2021-03-04
2021-03-05,Abbeville,15,2021-03-05
2021-03-06,Abbeville,13,2021-03-06
2021-03-07,Abbeville,4,2021-03-07
2021-03-08,Abbeville,1,2021-03-08
2021-03-09,Abbeville,1,2021-03-09
2021-03-10,Abbeville,6,2021-03-10
2021-03-11,Abbeville,9,2021-03-11
2021-03-12,Abbeville,7,2021-03-12
2021-03-13,Abbeville,19,2021-03-13
2021-03-14,Abbeville,3,2021-03-14
2021-03-15,Abbeville,3,2021-03-15
2021-03-16,Abbeville,5,2021-03-16
2021-03-17,Abbeville,9,2021-03-17
2021-03-18,Abbeville,2,2021-03-18
2021-03-19,Abbeville,3,2021-03-19
2021-03-20,Abbeville,7,2021-03-20
2021-03-21,Abbeville,9,2021-03-21
2021-03-22,Abbeville,6,2021-03-22
2021-03-23,Abbeville,2,2021-03-23
2021-03-24,Abbeville,4,2021-03-24
2021-03-25,Abbeville,23,2021-03-25
2021-03-26,Abbeville,3,2021-03-26
2021-03-27,Abbeville,11,2021-03-27
2021-03-28,Abbeville,1,2021-03-28
2021-03-29,Abbeville,8,2021-03-29
2021-03-30,Abbeville,0,2021-03-30
2021-03-31,Abbeville,1,2021-03-31
2021-04-01,Abbeville,2,2021-04-01
2021-04-02,Abbeville,6,2021-04-02
2021-04-03,Abbeville,12,2021-04-03
2021-04-04,Abbeville,0,2021-04-04
2021-04-05,Abbeville,12,2021-04-05
2021-04-06,Abbeville,8,2021-04-06
2021-04-07,Abbeville,14,2021-04-07
2021-04-08,Abbeville,4,2021-04-08
2021-04-09,Abbeville,9,2021-04-09
2021-04-10,Abbeville,7,2021-04-10
2021-04-11,Abbeville,1,2021-04-11
2021-04-12,Abbeville,2,2021-04-12
2021-04-13,Abbeville,2,2021-04-13
2021-04-14,Abbeville,4,2021-04-14
2021-04-15,Abbeville,1,2021-04-15
2021-04-16,Abbeville,8,2021-04-16
2021-04-17,Abbeville,4,2021-04-17
2021-04-18,Abbeville,4,2021-04-18
2021-04-19,Abbeville,3,2021-04-19
2021-04-20,Abbeville,0,2021-04-20
2021-04-21,Abbeville,4,2021-04-21
2021-04-22,Abbeville,0,2021-04-22
2021-04-23,Abbeville,2,2021-04-23
2021-04-24,Abbeville,2,2021-04-24
2021-04-25,Abbeville,3,2021-04-25
2021-04-26,Abbeville,1,2021-04-26
2021-04-27,Abbeville,3,2021-04-27
2021-04-28,Abbeville,3,2021-04-28
2021-04-29,Abbeville,1,2021-04-29
2021-04-30,Abbeville,8,2021-04-30
2021-05-01,Abbeville,2,2021-05-01
2021-05-02,Abbeville,1,2021-05-02
2021-05-03,Abbeville,3,2021-05-03
2021-05-04,Abbeville,1,2021-05-04
2021-05-05,Abbeville,0,2021-05-05
2021-05-06,Abbeville,4,2021-05-06
2021-05-07,Abbeville,2,2021-05-07
2021-05-08,Abbeville,1,2021-05-08
2021-05-09,Abbeville,0,2021-05-09
2021-05-10,Abbeville,0,2021-05-10
2021-05-11,Abbeville,2,2021-05-11
2021-05-12,Abbeville,2,2021-05-12
2021-05-13,Abbeville,2,2021-05-13
2021-05-14,Abbeville,2,2021-05-14
2021-05-15,Abbeville,1,2021-05-15
2021-05-16,Abbeville,1,2021-05-16
2021-05-17,Abbeville,0,2021-05-17
2021-05-18,Abbeville,1,2021-05-18
2021-05-19,Abbeville,1,2021-05-19
2021-05-20,Abbeville,1,2021-05-20
2021-05-21,Abbeville,0,2021-05-21
2021-05-22,Abbeville,3,2021-05-22
2021-05-23,Abbeville,1,2021-05-23
2021-05-24,Abbeville,0,2021-05-24
2021-05-25,Abbeville,1,2021-05-25
2021-05-26,Abbeville,2,2021-05-26
2021-05-27,Abbeville,3,2021-05-27
2021-05-28,Abbeville,2,2021-05-28
2021-05-29,Abbeville,1,2021-05-29
2021-05-30,Abbeville,1,2021-05-30
2021-05-31,Abbeville,0,2021-05-31
2021-06-01,Abbeville,0,2021-06-01
2021-06-02,Abbeville,1,2021-06-02
2021-06-03,Abbeville,1,2021-06-03
2021-06-04,Abbeville,0,2021-06-04
2021-06-05,Abbeville,0,2021-06-05
2021-06-06,Abbeville,0,2021-06-06
2021-06-07,Abbeville,0,2021-06-07
2021-06-08,Abbeville,0,2021-06-08
2021-06-09,Abbeville,0,2021-06-09
2021-06-10,Abbeville,0,2021-06-10
2021-06-11,Abbeville,0,2021-06-11
2021-06-12,Abbeville,0,2021-06-12
2021-06-13,Abbeville,0,2021-06-13
2021-06-14,Abbeville,0,2021-06-14
2021-06-15,Abbeville,0,2021-06-15
2021-06-16,Abbeville,0,2021-06-16
2021-06-17,Abbeville,0,2021-06-17
2021-06-18,Abbeville,0,2021-06-18
2021-06-19,Abbeville,0,2021-06-19
2021-06-20,Abbeville,0,2021-06-20
2021-06-21,Abbeville,0,2021-06-21
2021-06-22,Abbeville,0,2021-06-22
2021-06-23,Abbeville,0,2021-06-23
2021-06-24,Abbeville,1,2021-06-24
2021-06-25,Abbeville,0,2021-06-25
2021-06-26,Abbeville,0,2021-06-26
2021-06-27,Abbeville,0,2021-06-27
2021-06-28,Abbeville,0,2021-06-28
2021-06-29,Abbeville,0,2021-06-29
2021-06-30,Abbeville,0,2021-06-30
2021-07-01,Abbeville,0,2021-07-01
2021-07-02,Abbeville,0,2021-07-02
2021-07-03,Abbeville,0,2021-07-03
2021-07-04,Abbeville,0,2021-07-04
2021-07-05,Abbeville,0,2021-07-05
2021-07-06,Abbeville,0,2021-07-06
2021-07-07,Abbeville,0,2021-07-07
2021-07-08,Abbeville,0,2021-07-08
2021-07-09,Abbeville,0,2021-07-09
2021-07-10,Abbeville,0,2021-07-10
2021-07-11,Abbeville,0,2021-07-11
2021-07-12,Abbeville,0,2021-07-12
2021-07-13,Abbeville,0,2021-07-13
2021-07-14,Abbeville,1,2021-07-14
2021-07-15,Abbeville,1,2021-07-15
2021-07-16,Abbeville,0,2021-07-16
2021-07-17,Abbeville,0,2021-07-17
2021-07-18,Abbeville,0,2021-07-18
2021-07-19,Abbeville,7,2021-07-19
2021-07-20,Abbeville,1,2021-07-20
2021-07-21,Abbeville,3,2021-07-21
2021-07-22,Abbeville,3,2021-07-22
2021-07-23,Abbeville,2,2021-07-23
2021-07-24,Abbeville,0,2021-07-24
2021-07-25,Abbeville,0,2021-07-25
2021-07-26,Abbeville,8,2021-07-26
2021-07-27,Abbeville,2,2021-07-27
2021-07-28,Abbeville,0,2021-07-28
2021-07-29,Abbeville,8,2021-07-29
2021-07-30,Abbeville,13,2021-07-30
2021-07-31,Abbeville,0,2021-07-31
2021-08-01,Abbeville,0,2021-08-01
2021-08-02,Abbeville,11,2021-08-02
2021-08-03,Abbeville,10,2021-08-03
2021-08-04,Abbeville,7,2021-08-04
2021-08-05,Abbeville,8,2021-08-05
2021-08-06,Abbeville,1,2021-08-06
2021-08-07,Abbeville,0,2021-08-07
2021-08-08,Abbeville,0,2021-08-08
2021-08-09,Abbeville,18,2021-08-09
2021-08-10,Abbeville,4,2021-08-10
2021-08-11,Abbeville,7,2021-08-11
2021-08-12,Abbeville,7,2021-08-12
2021-08-13,Abbeville,13,2021-08-13
2021-08-14,Abbeville,0,2021-08-14
2021-08-15,Abbeville,0,2021-08-15
2021-08-16,Abbeville,39,2021-08-16
2021-08-17,Abbeville,7,2021-08-17
2021-08-18,Abbeville,6,2021-08-18
2021-08-19,Abbeville,10,2021-08-19
2021-08-20,Abbeville,16,2021-08-20
2021-08-21,Abbeville,0,2021-08-21
2021-08-22,Abbeville,0,2021-08-22
2021-08-23,Abbeville,48,2021-08-23
2021-08-24,Abbeville,9,2021-08-24
2021-08-25,Abbeville,8,2021-08-25
2021-08-26,Abbeville,22,2021-08-26
2021-08-27,Abbeville,22,2021-08-27
2021-08-28,Abbeville,0,2021-08-28
2021-08-29,Abbeville,0,2021-08-29
2021-08-30,Abbeville,59,2021-08-30
2021-08-31,Abbeville,33,2021-08-31
2021-09-01,Abbeville,9,2021-09-01
2021-09-02,Abbeville,22,2021-09-02
2021-09-03,Abbeville,27,2021-09-03
2021-09-04,Abbeville,0,2021-09-04
2021-09-05,Abbeville,0,2021-09-05
2021-09-06,Abbeville,77,2021-09-06
2021-09-07,Abbeville,27,2021-09-07
2021-09-08,Abbeville,11,2021-09-08
2021-09-09,Abbeville,10,2021-09-09
2021-09-10,Abbeville,15,2021-09-10
2021-09-11,Abbeville,0,2021-09-11
2021-09-12,Abbeville,0,2021-09-12
2021-09-13,Abbeville,137,2021-09-13
2021-09-14,Abbeville,20,2021-09-14
2021-09-15,Abbeville,0,2021-09-15
2021-09-16,Abbeville,18,2021-09-16
2021-09-17,Abbeville,43,2021-09-17
2021-09-18,Abbeville,0,2021-09-18
2021-09-19,Abbeville,0,2021-09-19
2021-09-20,Abbeville,37,2021-09-20
2021-09-21,Abbeville,9,2021-09-21
2021-09-22,Abbeville,7,2021-09-22
2021-09-23,Abbeville,20,2021-09-23
2021-09-24,Abbeville,20,2021-09-24
2021-09-25,Abbeville,0,2021-09-25
2021-09-26,Abbeville,0,2021-09-26
2021-09-27,Abbeville,50,2021-09-27
2021-09-28,Abbeville,11,2021-09-28
2021-09-29,Abbeville,12,2021-09-29
2021-09-30,Abbeville,12,2021-09-30
2021-10-01,Abbeville,19,2021-10-01
2021-10-02,Abbeville,0,2021-10-02
2021-10-03,Abbeville,0,2021-10-03
2021-10-04,Abbeville,39,2021-10-04
2021-10-05,Abbeville,3,2021-10-05
2021-10-06,Abbeville,7,2021-10-06
2021-10-07,Abbeville,14,2021-10-07
2021-10-08,Abbeville,13,2021-10-08
2021-10-09,Abbeville,0,2021-10-09
2021-10-10,Abbeville,0,2021-10-10
2021-10-11,Abbeville,28,2021-10-11
2021-10-12,Abbeville,11,2021-10-12
2021-10-13,Abbeville,3,2021-10-13
2021-10-14,Abbeville,7,2021-10-14
2021-10-15,Abbeville,16,2021-10-15
2021-10-16,Abbeville,0,2021-10-16
2021-10-17,Abbeville,0,2021-10-17
2021-10-18,Abbeville,27,2021-10-18
2021-10-19,Abbeville,2,2021-10-19
2021-10-20,Abbeville,9,2021-10-20
2021-10-21,Abbeville,3,2021-10-21
2021-10-22,Abbeville,12,2021-10-22
2021-10-23,Abbeville,0,2021-10-23
2021-10-24,Abbeville,0,2021-10-24
2021-10-25,Abbeville,8,2021-10-25
2021-10-26,Abbeville,2,2021-10-26
2021-10-27,Abbeville,2,2021-10-27
2021-10-28,Abbeville,0,2021-10-28
2021-10-29,Abbeville,2,2021-10-29
2021-10-30,Abbeville,0,2021-10-30
2021-10-31,Abbeville,0,2021-10-31
2021-11-01,Abbeville,12,2021-11-01
2021-11-02,Abbeville,1,2021-11-02
2021-11-03,Abbeville,1,2021-11-03
2021-11-04,Abbeville,7,2021-11-04
2021-11-05,Abbeville,2,2021-11-05
2021-11-06,Abbeville,0,2021-11-06
2021-11-07,Abbeville,0,2021-11-07
2021-11-08,Abbeville,19,2021-11-08
2021-11-09,Abbeville,2,2021-11-09
2021-11-10,Abbeville,4,2021-11-10
2021-11-11,Abbeville,0,2021-11-11
2021-11-12,Abbeville,4,2021-11-12
2021-11-13,Abbeville,0,2021-11-13
2021-11-14,Abbeville,0,2021-11-14
2021-11-15,Abbeville,10,2021-11-15
2021-11-16,Abbeville,0,2021-11-16
2021-11-17,Abbeville,2,2021-11-17
2021-11-18,Abbeville,5,2021-11-18
2021-11-19,Abbeville,6,2021-11-19
2021-11-20,Abbeville,0,2021-11-20
2021-11-21,Abbeville,0,2021-11-21
2021-11-22,Abbeville,16,2021-11-22
2021-11-23,Abbeville,4,2021-11-23
2021-11-24,Abbeville,0,2021-11-24
2021-11-25,Abbeville,2,2021-11-25
2021-11-26,Abbeville,11,2021-11-26
2021-11-27,Abbeville,0,2021-11-27
